idx,true_damage_label,description,consistency_label,mismatch_type,severity_label
30,crack,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,minor
34,glass_shatter,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,medium
35,glass_shatter,Heckscheibe zerbrochen durch Vandalismusschaden.,1,none,medium
15,glass_shatter,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",1,none,medium
2,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
19,glass_shatter,"Kleiner Kratzer, kaum sichtbar, nur oberflächlich.",0,severity_mismatch,medium
6,glass_shatter,"Minimaler Schaden, kaum der Rede wert, kleiner Kratzer.",0,severity_mismatch,medium
28,crack,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
14,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
34,dent,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,1,none,medium
2,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
19,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
9,glass_shatter,Heckscheibe zerbrochen durch Vandalismusschaden.,1,none,medium
43,no_damage,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,none
34,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
24,no_damage,"Totalschaden, gestohlen, dringend Entschädigung, bar bezahlt.",0,fraud_signal,none
20,scratch,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",1,none,minor
20,no_damage,"Totalschaden, gestohlen, dringend Entschädigung, bar bezahlt.",0,fraud_signal,none
40,glass_shatter,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,medium
29,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
37,crack,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,minor
43,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
42,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
31,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
2,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
8,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
25,dent,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,medium
46,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
25,no_damage,Massiver Schaden an Karosserie und Motor nach Kollision.,0,severity_mismatch,none
36,no_damage,"Totalschaden, gestohlen, dringend Entschädigung, bar bezahlt.",0,fraud_signal,none
36,scratch,"Fahrzeug vollständig demoliert, Totalschaden.",0,severity_mismatch,minor
34,dent,"Fahrzeug gestohlen, keine Zeugen, sofortige Entschädigung erbeten.",0,fraud_signal,medium
5,glass_shatter,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,medium
24,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
42,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
49,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
21,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
46,crack,"Riss in der Frontschürze, strukturell nicht beeinträchtigt.",1,none,minor
25,no_damage,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,none
14,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
32,scratch,"Schramme am Stossfänger, Farbe abgeschürft.",1,none,minor
24,dent,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,1,none,medium
28,scratch,"Schramme am Stossfänger, Farbe abgeschürft.",1,none,minor
43,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
24,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
19,scratch,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
31,no_damage,Kein sichtbarer Schaden am Fahrzeug nach angeblichem Unfall.,1,none,none
0,glass_shatter,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,0,damage_type_mismatch,medium
9,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
9,no_damage,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,none
42,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
19,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
15,scratch,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,minor
44,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
5,dent,"Fahrzeug gestohlen, keine Zeugen, sofortige Entschädigung erbeten.",0,fraud_signal,medium
7,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
4,glass_shatter,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,medium
2,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
5,scratch,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,minor
5,no_damage,"Fahrzeug wirkt unbeschädigt, keine Spuren einer Kollision.",1,none,none
24,scratch,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",1,none,minor
13,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
35,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
2,scratch,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,minor
1,glass_shatter,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",1,none,medium
23,glass_shatter,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,1,none,medium
15,glass_shatter,"Kleiner Kratzer, kaum sichtbar, nur oberflächlich.",0,severity_mismatch,medium
16,no_damage,Massiver Schaden an Karosserie und Motor nach Kollision.,0,severity_mismatch,none
17,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
